Bin	DR	DD	RR	Omega
348	1837384	550662	2774382	-0.126055
349	1672751	508754	2546584	-0.113942
350	1487867	460856	2296688	-0.095002
351	1332009	398750	2053450	-0.103152
352	1185574	349100	1818548	-0.111902
353	1038222	286518	1544772	-0.158699
354	892737	228320	1291858	-0.205360
355	715963	177688	1054766	-0.189115
356	528700	115580	814500	-0.156317
357	363501	59824	591844	-0.127287
358	214579	21314	363884	-0.120808
359	69850	2436	132072	-0.039312
